title;price;type;country;color;alcohol;age;vol;raw;class
Вино Bardolino – Decordi 0,75 л;450;вино;италия;красное;;;0,75;;
Вино Tyrrells Wines Old Winery Shiraz 0,75 л;780;вино;австралия;красное;;;0,75;;
Вино Enaria – Ramon Bilbao 0,75 л;875;вино;испания;белое;;;0,75;;
Вино Blanc – Parallele 45 – Paul Jaboulet Aine 0,75 л;1390;вино;франция;белое;;;0,75;;
Вино Lagar d'amprius Chardonay 0,75 л;1350;вино;испания;белое;;;0,75;;
Вино Pinot Grigio Delle Venezie – Decordi 0,75 л;581;вино;италия;белое;;;0,75;;
Вино Toucas Vinho Verde Doc 0,75 л;734;вино;португалия;белое;9,5;;0,75л;;
Вино Salina Monastrell;690;вино;испания;красное;;;0,75;;
Вино Rkatsiteli – Chelti 0,75 л;890;вино;грузия;белое;;;0,75л;;
Вино Paddle Creek Sauvignon Blanc 0,75 л;1037;вино;новая зеландия;белое;;;0,75;;
Вино Saperavi Kvevri Koncho & Co 0,75 л;1070;вино;грузия;красное;;;0,75;;
Вино Мукузани – Виниверия 0,75 л;1620;вино;грузия;красное;;;0,75;;
Вино Primitivo – Luccarelli 0,75 л;1225;вино;италия;красное;;;0,75;;
Вино Valpolicella Ripasso – Giuseppe Campagnola 0,75 л;1250;вино;италия;красное;;;0,75;;
Вино Russian Jack Sauvignon Blanc 0,75 л;1490;вино;новая зеландия;белое;;;0,75;;
Вино Саперави – Виниверия 0,75 л;1350;вино;грузия;красное;;;0,75;;
Вино Kindzmarauli – Winiveria 0,75 л;1390;вино;грузия;красное;;;0,75;;
Вино Salina Monastrell 12 Messes Roble;1510;вино;испания;красное;;;0,75;;
Вино Sauvignon Blanc Marlborough Tohu 2015 0,75 л;2365;вино;новая зеландия;белое;;;0,75;;
Вино Саперави – Виниверия 1,5 л;1790;вино;грузия;красное;;;1,5;;
Вино Gurashvili's Saperavi Kvevri 0,75 л;2390;вино;грузия;красное;;;0,75л;;
Вино Saperavi – Natural Kvevri Reserve – Tchotiashvili 0,75 л;2730;вино;грузия;красное;13;;0,75;;
Вино Chianti Classico – Fonterutoli 0,75 л;2888;вино;италия;красное;;;0,75;;
Вино Taberner Organic;2974;вино;испания;красное;;;0.75л;;
Вино Burdese – Planeta 0,75 л;3491;вино;италия;красное;;;0,75;;
Вино Amarone della Valpolicella Classico – Lenotti 0,75 л;3890;вино;италия;красное;;;0.75;;
Вино Усахелаури – Рачули Гвино в п/у 0,75 л;5250;вино;грузия;красное;;;0,75;;
Вино Sine Qua Non Grenache 0,75 л;45079;вино;сша;красное;;;0,75;;
Вино Montepulciano d’Abruzzo – Decordi 0,75 л;490;вино;италия;красное;;;0,75;;
Вино Инкерман Рислинг 0,75 л;590;вино;россия;белое;;;0,75;;
Вино Blabla Blanc 0,75 л;610;вино;россия;белое;;;0,75;;
Вино Carmenere – Aves del Sur 0,75 л;880;вино;чили;красное;;;0,75;;
Вино Sauvignon Blanc – Aves del Sur 0,75 л;880;вино;чили;белое;;;0,75;;
Вино Schenk Chianti 2009 0,75 л;673;вино;италия;красное;;;0,75;;
Вино Astrale Rosso 0,75 л;690;вино;италия;красное;14;;0,75;;
Вино Chianti – Decordi 0,75 л;695;вино;италия;красное;;;0,75;;
Вино Michel Torino Coleccion Malbec 2016 0,75 л;750;вино;аргентина;красное;;;0,75;;
Вино Torrontes – Michel Torino – Coleccion 0,75 л;750;вино;аргентина;белое;;;0,75;;
Вино Maree d`ione Nero di Troia Organic;910;вино;италия;красное;;;0,75;;
Вино Casal Garcia Vinho Verde 0,75 л;920;вино;португалия;белое;9,5;;0,75;;
Вино Мускат Оттонель – Баккал Су – Валерий Захарьин 0,75 л;940;вино;россия;белое;;;0,75;;
Вино Diodoro – Primitivo di Manduria – San Giorgio 0,75 л;966;вино;италия;красное;;;0,75;;
Вино Appassimento Segreto rosso, Puglia IGT, Contri Spumanti S.p.A. 0,75 л;926;вино;италия;красное;;;0,75;;
Вино Castillo De Eneriz Reserva;995;вино;испания;красное;;;0,75;;
Вино Marco Zanatta Vermentino di Gallura 0,75 л;1506;вино;италия;белое;;;0,75;;
Вино Saperavi – Chelti 0,75 л;1170;вино;грузия;красное;;;0,75;;
Вино Sauvignon Blanc Waipara Hills Wine Estate LTD 0,75 л;1190;вино;новая зеландия;белое;;;0,75;;
Вино Salina Monastrell 4 Messes Roble;1250;вино;испания;красное;;;0.75;;
Вино Bianca – Scaia 0,75 л;1699;вино;италия;белое;;;0,75;;
Вино Astrale Rosso 1,5 л;1290;вино;италия;красное;14;;1,5;;
Вино Annalina Sauvignon Blanc;1290;вино;новая зеландия;белое;;;0,75;;
Вино Malbec – Alamos 0,75 л;1326;вино;аргентина;красное;;;0,75;;
Вино Gewurztraminer - Mastri Vernacoli - Cavit 0,75 л;1360;вино;италия;белое;;;0,75;;
Вино Mukuzani Marani;1385;вино;грузия;красное;;;0,75;;
Вино Мукузани – Грейт Коллекшн – Картули Вази 0,75 л;1430;вино;грузия;красное;;;0,75;;
Вино The Y Series Riesling 0,75 л;1495;вино;австралия;белое;;;0,75;;
Вино Nero d’Avola – Luma – Cellaro 0,75 л;1836;вино;италия;красное;;;0,75;;
Вино Pfefferer – Colterenzio 0,75 л;1583;вино;италия;белое;;;0,75;;
Вино Crianza – Luis Cañas 0,75 л;1590;вино;испания;красное;;;0,75;;
Вино Tempranillo – Finca del Mar – Vicende Gandia 3 л;1650;вино;испания;красное;;;3;;
Вино Villa Maria Private Bin Sauvignon Blanc 2017 0,75 л;1650;вино;новая зеландия;белое;;;0,75;;
Вино Sinfarosa Zinfandel 0,75 л;2268;вино;италия;красное;;;0,75;;
